# |V|, density, cputime
35.000000,0.334454,-0.000385
26.000000,0.440000,-0.000352
25.000000,0.536667,-0.000253
26.000000,0.652308,-0.000374
26.000000,0.753846,-0.000483
22.000000,0.848485,-0.000305
33.000000,0.329545,-0.000401
35.000000,0.445378,-0.000616
20.000000,0.515789,-0.000196
24.000000,0.634058,-0.000331
38.000000,0.751067,-0.001049
45.000000,0.856566,-0.001606
31.000000,0.320430,-0.000400
48.000000,0.446809,-0.001223
34.000000,0.540107,-0.000771
39.000000,0.651822,-0.001015
42.000000,0.754936,-0.001365
23.000000,0.837945,-0.000406
25.000000,0.326667,-0.000233
21.000000,0.423810,-0.000153
34.000000,0.540107,-0.000748
33.000000,0.630682,-0.000540
26.000000,0.753846,-0.000532
24.000000,0.836957,-0.000402
41.000000,0.347561,-0.000577
28.000000,0.447090,-0.000320
44.000000,0.560254,-0.001225
29.000000,0.637931,-0.000561
45.000000,0.761616,-0.001471
37.000000,0.846847,-0.001022
48.000000,0.342199,-0.000767
48.000000,0.446809,-0.001068
45.000000,0.552525,-0.001234
46.000000,0.642512,-0.001397
21.000000,0.742857,-0.000420
39.000000,0.844804,-0.004287
49.000000,0.344388,-0.000873
34.000000,0.447415,-0.000564
41.000000,0.557317,-0.000860
40.000000,0.651282,-0.001100
45.000000,0.761616,-0.001655
50.000000,0.853878,-0.001771
25.000000,0.326667,-0.000210
44.000000,0.461945,-0.000924
34.000000,0.540107,-0.000738
43.000000,0.651163,-0.001231
42.000000,0.754936,-0.001210
28.000000,0.838624,-0.000668
44.000000,0.349894,-0.000700
47.000000,0.446809,-0.000990
32.000000,0.528226,-0.000518
30.000000,0.643678,-0.000664
22.000000,0.740260,-0.000342
37.000000,0.846847,-0.001069
30.000000,0.328736,-0.000296
42.000000,0.450639,-0.000900
21.000000,0.523810,-0.000249
50.000000,0.645714,-0.001740
25.000000,0.750000,-0.000360
23.000000,0.837945,-0.000490
31.000000,0.320430,-0.000303
27.000000,0.441595,-0.000370
20.000000,0.515789,-0.000272
22.000000,0.645022,-0.000278
27.000000,0.752137,-0.000553
49.000000,0.852891,-0.001934
30.000000,0.328736,-0.000244
49.000000,0.447279,-0.001163
45.000000,0.552525,-0.001057
43.000000,0.651163,-0.001415
25.000000,0.750000,-0.000396
21.000000,0.847619,-0.000280
26.000000,0.320000,-0.000221
39.000000,0.452092,-0.000803
24.000000,0.514493,-0.000325
24.000000,0.634058,-0.000429
38.000000,0.751067,-0.001216
31.000000,0.840860,-0.000691
42.000000,0.342625,-0.000518
28.000000,0.447090,-0.000345
30.000000,0.540230,-0.000493
34.000000,0.638146,-0.000784
39.000000,0.750337,-0.001266
34.000000,0.832442,-0.000900
23.000000,0.316206,-0.000179
24.000000,0.420290,-0.000278
26.000000,0.541538,-0.000414
39.000000,0.651822,-0.000888
43.000000,0.761905,-0.001440
50.000000,0.853878,-0.002345
31.000000,0.320430,-0.000297
24.000000,0.420290,0.000130
40.000000,0.556410,-0.000882
25.000000,0.646667,-0.000375
33.000000,0.729167,-0.000765
47.000000,0.851064,-0.001836
21.000000,0.304762,-0.000109
21.000000,0.423810,-0.000340
33.000000,0.534091,-0.000507
36.000000,0.649206,-0.000719
47.000000,0.751156,-0.001828
42.000000,0.854820,-0.001538
39.000000,0.340081,-0.000703
41.000000,0.457317,-0.000729
40.000000,0.556410,-0.000859
25.000000,0.646667,-0.000444
29.000000,0.741379,-0.000557
50.000000,0.853878,-0.014095
44.000000,0.349894,-0.000618
32.000000,0.425403,-0.000432
23.000000,0.521739,-0.000302
47.000000,0.640148,-0.001520
47.000000,0.751156,-0.001892
37.000000,0.846847,-0.001307
40.000000,0.344872,-0.000671
25.000000,0.433333,-0.000261
28.000000,0.547619,-0.000414
35.000000,0.642017,-0.000796
23.000000,0.735178,-0.000496
41.000000,0.851220,-0.001340
24.000000,0.318841,-0.000053
23.000000,0.422925,-0.000323
48.000000,0.542553,-0.001987
48.000000,0.642730,-0.001821
46.000000,0.754589,-0.002805
48.000000,0.851950,-0.001828
37.000000,0.337838,-0.000453
24.000000,0.420290,-0.000269
38.000000,0.551920,-0.000845
47.000000,0.640148,-0.001769
28.000000,0.748677,-0.000550
35.000000,0.838655,-0.000971
46.000000,0.342995,-0.000952
35.000000,0.445378,-0.000549
30.000000,0.540230,-0.000676
31.000000,0.636559,-0.000527
46.000000,0.754589,-0.001913
26.000000,0.843077,-0.000577
